ID,titulo,titulo_completo,empresa,comentario_curto,comentario,link,data,cidade,local,problema
108719093,"P. articipei de uma compra coletiva, paguei adiantado e...","P. articipei de uma compra coletiva, paguei adiantado e nunca recebi a encomenda!",Treco Baby,"Em setembro de 2019, participei de uma compra coletiva (mais de 100 pares) de calçados da marca Treco Baby  via whatsApp. Em outubro, paguei adiantado por 4...","Em setembro de 2019, participei de uma compra coletiva (mais de 100 pares) de calçados da marca Treco Baby  via whatsApp. Em outubro, paguei adiantado por 4 pares que escolhi e a empresa não cumpriu com o prazo inicial de entrega (até 08/11). Esperei mais 60 dias e chegaram modelos diferentes dos encomendados. Não aceitei e pedi que viessem os modelos encomendados. Passados mais 2 meses, como nada era resolvido, solicitei o reembolso do dinheiro, pois no  momento de necessidade, precisei adquirir outros sapatos. A líder do grupo, que estava intermediando a compra, alegou inúmeros problemas com a empresa,  além dos atrasos, da falta de organização com os modelos, estava tendo dificuldade de comunicação, por isso me passou o contato direto da representante. Entrei em contato e o retorno foi demorado e quando solicitei o dinheiro de volta, recebi a explicação de que era necessário a devolução dos modelos que foram enviados errados e que e estariam com a mediadora da compra. Passou-se mais uns 60 dias e como nada foi solucionado, contactei novamente a representante, aceitando receber 4 pares de sapatos, pra agilizar o processo, já que o reembolso do dinheiro estava demorando.Nesse caso, recebi um atendimento bem educado, porém novamente lento nos retornos.No dia 29 de maio de 2020, escolhi 4 modelos, me dispondo a aceitar outros, caso não tivesse pronta entrega daqueles, a fim de não emperrar o processo mais uma vez. Ocorre que, mais uma vez, fiquei apenas nas promessas de entrega, já se vão quase mais 2 meses dessa ultima espera, contabilizando quase 10 meses da compra e NADA! Me sinto profundamente desrespeitada como consumidora, duplamente enganada, pois em 2 momentos e por duas vias (empresa e mediadora da compra) não recebi os sapatos. Já ouvi falar dos benefícios dos calçados, porém uma empresa não é somente seu produto, mas também seu atendimento, sua agilidade, sua consideração com o cliente. E nesse quesito, não indico a Treco Baby pra ninguém. Parece que caí num [Editado pelo Reclame Aqui]! Alerto: não caiam também, não paguem antes de receber!",https://www.reclameaqui.com.br/treco-baby/p-articipei-de-uma-compra-coletiva-paguei-adiantado-e-nunca-recebi-a-enco_vObyFzcF31Sm-Jc3/, 18/07/20 às 18h09,São João Nepomuceno, São João Nepomuceno - MG,2
108708387,DESAPONTADA,DESAPONTADA,Mundial calçados,"Fiz uma compra pelo site da Mundial Calçados há mais de 15 dias, liguei no atendimento por 3 vezes, falei com a Kátia que ficou de me dar um retorno e não deu...","Fiz uma compra pelo site da Mundial Calçados há mais de 15 dias, liguei no atendimento por 3 vezes, falei com a Kátia que ficou de me dar um retorno e não deu. Só alegou que teve problemas com a entrega, mas não deu satisfações. Um descaso total com o cliente que já pagou a compra e não tem retorno. Se não tem condições de vender online, deveria cancelar essa opção. Um desastre. primeira e última vez. Quero meu estorno.",https://www.reclameaqui.com.br/mundial-calcados/desapontada_SXMdOP_HXb2QvHMF/, 18/07/20 às 13h16,Osasco, Osasco - SP,2
108653641,Péssimo atendimento e falta de respeito com consumidor.,Péssimo atendimento e falta de respeito com consumidor.,Loja Melissa - Loja Onlin...,"Fiz  compra de dois calçados no site da empresa e paguei na hora pelo aplicativo do meu banco e até agora o pagamento  não  foi aprovado, sendo que já  foi...","Fiz  compra de dois calçados no site da empresa e paguei na hora pelo aplicativo do meu banco e até agora o pagamento  não  foi aprovado, sendo que já  foi descontado da minha conta bancária. Quero meu dinheiro de volta, pois não consigo confiar em uma empresa, que se quer atende seus clientes. Caso não dêem um retorno imediato as minhas ""súplicas"" de atendimento irei procurar outros meios de cobrança judicial.",https://www.reclameaqui.com.br/loja-melissa-loja-online/pessimo-atendimento-e-falta-de-respeito-com-consumidor_sTFcAZtHrIsdSCqo/, 17/07/20 às 13h28,Santa Maria, Santa Maria - RS,2
108638181,Produto atrasado a quase um mes,Produto atrasado a quase um mes,Magazine Luiza - Loja Onl...," entregues no prazo, porem o kit bolsa que é de um parceiro R P calçados de Luxo não, a previsão de entrega era 01/07, pelo acompanhamento da compra ainda esta...","Fiz a compra no dia 21/06, de 03 lençóis, kit travesseiro, kit bolsa, e fiz a vista pagamento no mesmo dia no boleto.os itens lençóis e travesseiro foram entregues no prazo, porem o kit bolsa que é de um parceiro R P calçados de Luxo não, a previsão de entrega era 01/07, pelo acompanhamento da compra ainda esta com status ""aguardando nota fiscal"", já enviei vários e-mail , já entrei no atendimento, mas não houve resposta. aguardo solução.",https://www.reclameaqui.com.br/magazine-luiza-loja-online/produto-atrasado-a-quase-um-mes_loYrJjtA71I_Ao5i/, 17/07/20 às 10h27,Campinas, Campinas - SP,2
108552029,Desrespeito ao cliente,Desrespeito ao cliente,Overcome Clothing," comprei para minha filha dia 06/07  moleton, calçados  e nada de não  envia o pedido, e minha nota fiscal foi emitida dia 10/07  porém não nada  hj é dia 15/07...","O que vi e  li sobre esta loja me deixou muito preocupada, não me preocupei de em avaliar  o site da loja somente comprei ,já que a marca forte nas redes comprei para minha filha dia 06/07  moleton, calçados  e nada de não  envia o pedido, e minha nota fiscal foi emitida dia 10/07  porém não nada  hj é dia 15/07 somente *separação * sei...que furada.Conto com suas obrigações pq a minha já foi feita pagamento aprovado, aguardo",https://www.reclameaqui.com.br/overcome-clothing/desrespeito-ao-cliente_ypLkXWDEWNiphmCN/, 16/07/20 às 05h57,Curitiba, Curitiba - PR,2
108530761,Descaso pra troca de um profundo e entrega de outro,Descaso pra troca de um profundo e entrega de outro,Centauro,"Comprei dois calçados entregaram um e o outro não. O que entregaram um sapatênis não me agradou quero devolver e comprar outro calçado no lugar, porém tento de tds as formas e não me dão a mínima. Número do pedido. 923289957...","Comprei dois calçados entregaram um e o outro não. O que entregaram um sapatênis não me agradou quero devolver e comprar outro calçado no lugar, porém tento de tds as formas e não me dão a mínima. Número do pedido. 923289957",https://www.reclameaqui.com.br/centauro-loja-fisica/descaso-pra-troca-de-um-profundo-e-entrega-de-outro_l8wjZaFWTN0eGbKJ/, 15/07/20 às 20h19,Vitória, Vitória - ES,2
108521867,"Passou do prazo da entrega , e cobrou a mais no prime","Passou do prazo da entrega , e cobrou a mais no prime",Privalia,"Comprei uns sapatos na campanha líquida calçados...prometendo entrega para 08/07 a 09/07 , entre os sapatos comprei 1 para presentear minha tia , fui para a...","Comprei uns sapatos na campanha líquida calçados...prometendo entrega para 08/07 a 09/07 , entre os sapatos comprei 1 para presentear minha tia , fui para a festa dia 11/07com a maior vergonha pois o presente não chegou e fui de mãos abanando , entro no chat porém sempre muito cheio e  demora pra ser atendida...entre outras eles não ligam e não dão nem uma satisfação.  Comprei o pacote prime junto com a compra prometendo cobrar R$ 17,90  é cobram R$39,90 , o que aconteceu?Nossa sou cliente a tempos e  sempre indico a privalia para amigos , mas depois disso estou decepcionada. Aguardo resposta",https://www.reclameaqui.com.br/privalia/passou-do-prazo-da-entrega-e-cobrou-a-mais-no-prime_-vQyez9WGDmje7X_/, 15/07/20 às 18h25,Guarujá, Guarujá - SP,2
108518171,Não recebi minha mercadoria,Não recebi minha mercadoria,TNT Mercurio Cargas e enc...,"Fiz um pedido no dia 2 de alguns calçados, os produtos foi encaminhado para volta Redonda, dando que seria entregue no dia 15. Sendo q eles saíram no dia 10...","Fiz um pedido no dia 2 de alguns calçados, os produtos foi encaminhado para volta Redonda, dando que seria entregue no dia 15. Sendo q eles saíram no dia 10 para efetuar a entrega e teve algum problema no trânsito, e não pode vir, aguardei dia 15 nada tambem. Meu nome João Carlos De Souza goulart ,Paty do alferes.  Pedido n div 713063.",https://www.reclameaqui.com.br/tnt-mercurio-cargas-e-encomendas/nao-recebi-minha-mercadoria_YyYLMBfstdrYBKBn/, 15/07/20 às 17h41,Paty do Alferes, Paty do Alferes - RJ,2
108515089,Pedido 47299,Pedido 47299,Condi Outlet," loja após o prazo de entrega querendo saber quando me enviariam meu pedido. Fui informada que os calçados estavam sendo produzidos no Brasil agora e, por isso a...","No dia 10 de maio realizei a compra de uma bota no site. A entrega era distante mas aceitável e deveria ter chego no final de junho. Entrei em contato com a loja após o prazo de entrega querendo saber quando me enviariam meu pedido. Fui informada que os calçados estavam sendo produzidos no Brasil agora e, por isso a demora. No dia 02/07 fui informada que me enviariam em 5 dias conforme o print que estou adicionando. Hoje é dia 15/07 e até agora nada. Ja entrei em contato por e-mail, pelo instagram e é sempre informado a mesma coisa. Eles se quer leram as mensagens que mandei. Quero o cancelamento e estorno do meu dinheiro. Eles me deram prazos duas vezes e não cumpriram. Perderam de ganhar uma cliente. A data de entrega da bota que seria um presente já passou. Estou me sentindo [Editado pelo Reclame Aqui] e prejudicada. Exijo uma resposta da empresa que não seja a mesma de sempre, que estão esperando os correios enviarem os códigos ou que a produção atrasou por conta da Mudança do fornecimento. CANSEI.",https://www.reclameaqui.com.br/condi-outlet/pedido-47299_wVHFZpjkfZZLdVWB/, 15/07/20 às 17h05,Boracéia, Boracéia - SP,2
108401967,Fora do prazo,Fora do prazo,Jdk Calçados,"No dia 07/07 realizei a compra de uma bota para o meu pai no site da JDK calçados, o produto custou  R$199,90 e mais R$21,36 de frete. No site fui informada q...","No dia 07/07 realizei a compra de uma bota para o meu pai no site da JDK calçados, o produto custou  R$199,90 e mais R$21,36 de frete. No site fui informada q a entrega seria em 7 dias a partir da aprovação do pagamento, como  isso ocorreu no mesmo dia o prazo para a entrega seria amanhã, mas ao entrar em contato com a empresa recebi a informação de que a entrega será em sete dias a partir de amanhã por conta de problemas internos.  Isso é um absurdo, cobrar esse valor no frete e não entregar na data combinada. Eu comprei essa bota para dar de presente para o meu pai e infelizmente vou ter q adiar isso. Foi a primeira e última vez que compro nesse lugar. Aconselho que NÃO COMPREM!!!!",https://www.reclameaqui.com.br/jdk-calcados/fora-do-prazo_Vtls886tGhDW6YjG/, 14/07/20 às 12h17,Sorocaba, Sorocaba - SP,2
